T,X,Y,Z,Label,Perimeter,Volume,Intensity,ExtentX,ExtentY,ExtentZ
27,523,350,7,625,92.22891617502334,13248,8505,46,48,6
27,473,226,3,641,109.24371756757998,22016,9643,43,64,8
27,584,267,6,702,127.83796757295387,35280,19975,63,70,8
28,144,247,5,3,142.62187611944276,48990,26000,69,71,10
28,205,371,5,66,142.62187611944276,48990,25614,71,69,10
28,239,209,10,130,47.83190239719239,1848,1074,42,44,1
28,334,160,2,193,126.60868020642252,34272,19846,68,72,7
28,273,262,1,258,113.19905809284081,24495,12298,71,69,5
28,407,368,1,321,117.98914295551761,27738,15245,67,69,6
28,389,143,9,385,91.80228052399461,13065,7547,65,67,3
28,286,357,9,513,70.15998761497356,5832,3069,54,54,2
28,404,280,9,564,74.23728197442645,6909,3018,49,47,3
28,448,404,8,610,89.47415206107169,12096,7198,54,56,4
28,532,340,6,625,112.73036760323899,24192,12275,56,54,8
28,472,226,2,641,98.4790469207313,16128,8755,56,48,6
28,579,264,6,702,132.24961352825434,39060,22596,62,70,9
29,143,243,5,3,143.97724001925775,50400,27035,70,72,10
29,203,374,5,66,143.98676169377921,50410,26627,71,71,10
29,237,210,10,130,49.23952346036566,2016,1502,42,48,1
29,336,158,2,193,133.65662991355475,40320,22198,70,72,8
29,265,261,1,258,115.88452693374424,26280,14654,72,73,5
29,399,379,1,321,118.55640717077871,28140,15752,70,67,6
29,403,136,9,385,89.91578879223849,12276,5088,66,62,3
29,287,363,9,513,67.92405585414409,5292,3177,49,54,2
29,416,284,9,564,81.79140258298641,9240,3775,55,56,3
29,440,409,8,610,92.17318871965783,13224,7784,57,58,4
29,532,343,6,625,117.25722933996317,27225,14835,55,55,9
29,442,239,1,642,77.10170561999708,7740,3978,36,43,5
29,495,210,3,671,74.31242097508425,6930,4183,33,42,5
29,575,277,6,702,133.01711472334537,39744,21491,64,69,9
30,149,237,6,3,140.31095201757384,46647,27172,71,73,9
30,200,364,6,66,140.31095201757384,46647,26922,73,71,9
30,246,207,9,130,67.92405585414409,5292,2474,49,54,2
30,337,161,3,193,140.9487378373125,47286,26000,74,71,9
30,268,272,1,258,121.41100824272223,30222,14781,69,73,6
30,375,378,2,321,118.55640717077871,28140,17068,70,67,6
30,415,140,9,385,100.0180306076043,16896,7932,64,66,4
30,288,355,9,513,64.38899319373127,4508,2386,46,49,2
30,422,292,9,564,58.72536173436249,3420,1862,38,45,2
30,441,413,8,610,93.73574294365294,13908,8400,57,61,4
30,525,348,5,625,122.82857082467787,31293,15886,61,57,9
30,424,240,1,642,83.6942066138216,9900,5796,44,45,5
30,492,207,2,671,89.47415206107169,12096,6981,42,48,6
30,570,281,5,702,137.05036988306793,43470,21512,63,69,10
31,154,240,6,3,144.65960680090527,51120,27328,71,72,10
31,213,359,7,66,134.29008312037942,40896,22899,72,71,8
31,259,201,9,130,69.28289582295633,5616,2299,52,54,2
31,330,161,3,193,140.96662019449974,47304,26402,73,72,9
31,265,279,1,258,120.87028467462787,29820,15542,71,70,6
